bhk,price,area,sale,furnus,f1,f2,floor
2.0,4500000.0,770.0,Resale,Unfurnished,1.0,6.0,1 out of 6
3.0,24000000.0,1500.0,Resale,Furnished,6.0,30.0,6 out of 30
1.0,5400000.0,430.0,Resale,Semi-Furnished,2.0,7.0,2 out of 7
1.0,5000000.0,410.0,Resale,Semi-Furnished,3.0,7.0,3 out of 7
2.0,4290000.0,688.0,New Property,Unfurnished,3.0,20.0,3 out of 20
3.0,7500000.0,640.0,Resale,Unfurnished,7.0,15.0,7 out of 15
2.0,10000000.0,680.0,Resale,Unfurnished,6.0,13.0,6 out of 13
3.0,23600000.0,1073.0,New Property,Unfurnished,2.0,29.0,2 out of 29
3.0,34500000.0,1356.0,New Property,Unfurnished,20.0,35.0,20 out of 35
1.0,4800000.0,400.0,Resale,Unfurnished,3.0,7.0,3 out of 7
1.0,5600000.0,483.0,Resale,Unfurnished,13.0,31.0,13 out of 31
1.0,4550000.0,453.0,New Property,Unfurnished,3.0,23.0,3 out of 23
3.0,5500000.0,750.0,Resale,Unfurnished,3.0,4.0,3 out of 4
2.0,16000000.0,800.0,Resale,Semi-Furnished,19.0,19.0,19 out of 19
2.0,17000000.0,760.0,Resale,Semi-Furnished,11.0,18.0,11 out of 18
1.0,6000000.0,500.0,Resale,Furnished,4.0,4.0,4 out of 4
4.0,49000000.0,1704.0,Resale,Unfurnished,18.0,30.0,18 out of 30
2.0,5800000.0,587.0,New Property,Unfurnished,10.0,20.0,10 out of 20
2.0,10000000.0,699.0,Resale,Semi-Furnished,2.0,19.0,2 out of 19
3.0,27500000.0,1350.0,Resale,Unfurnished,16.0,23.0,16 out of 23
2.0,16500000.0,763.0,New Property,Unfurnished,3.0,30.0,3 out of 30
3.0,25000000.0,1140.0,New Property,Unfurnished,8.0,8.0,8 out of 8
3.0,17500000.0,889.0,Resale,Semi-Furnished,17.0,27.0,17 out of 27
1.0,2900000.0,490.0,Resale,Unfurnished,1.0,4.0,1 out of 4
1.0,5300000.0,415.0,Resale,Unfurnished,4.0,7.0,4 out of 7
3.0,30000000.0,1140.0,Resale,Semi-Furnished,11.0,26.0,11 out of 26
2.0,13200000.0,735.0,Resale,Unfurnished,12.0,30.0,12 out of 30
1.0,10500000.0,490.0,New Property,Unfurnished,5.0,7.0,5 out of 7
1.0,7900000.0,452.0,Resale,Unfurnished,4.0,6.0,4 out of 6
1.0,6000000.0,450.0,Resale,Unfurnished,7.0,7.0,7 out of 7
3.0,13000000.0,894.0,Resale,Semi-Furnished,10.0,14.0,10 out of 14
2.0,10600000.0,640.0,Resale,Unfurnished,14.0,32.0,14 out of 32
2.0,10700000.0,640.0,Resale,Unfurnished,15.0,32.0,15 out of 32
2.0,17100000.0,758.0,New Property,Unfurnished,6.0,29.0,6 out of 29
3.0,16000000.0,894.0,Resale,Semi-Furnished,1.0,20.0,1 out of 20
3.0,22900000.0,1153.0,New Property,Unfurnished,28.0,32.0,28 out of 32
2.0,4150000.0,671.0,New Property,Unfurnished,3.0,20.0,3 out of 20
4.0,12500000.0,1170.0,Resale,Furnished,12.0,12.0,12 out of 12
2.0,8300000.0,600.0,Resale,Unfurnished,12.0,21.0,12 out of 21
2.0,14700000.0,848.0,Resale,Semi-Furnished,30.0,36.0,30 out of 36
2.0,11300000.0,650.0,Resale,Unfurnished,23.0,32.0,23 out of 32
6.0,18500000.0,913.0,Resale,Unfurnished,7.0,15.0,7 out of 15
1.0,6300000.0,366.0,Resale,Unfurnished,25.0,30.0,25 out of 30
2.0,14500000.0,750.0,Resale,Semi-Furnished,12.0,22.0,12 out of 22
2.0,15000000.0,706.0,Resale,Unfurnished,26.0,27.0,26 out of 27
