"bhk","price","flr","area","sale","furnus","owner"
1,4200000.00,"10-11",500,1,0,
2,9800000.00,"3-22",473,1,1,1
2,14000000.00,"10-29",779,1,0,1
1,2500000.00,"1-3",530,1,0,
2,16000000.00,"20-42",635,1,0,0
1,4500000.00,"2-7",,1,0,0
1,1650000.00,"4-5",550,1,0,
1,6000000.00,"0  out of 7",,1,2,
1,6000000.00,"0  out of 2",,1,2,0
3,16000000.00,"3-27",900,1,0,1
3,14000000.00,"6-20",950,1,1,0
2,13600000.00,"16-24",,1,1,
1,,"1-3",530,1,0,
2,,"16-24",,1,1,
2,13500000.00,"8-20",,1,1,
4,42500000.00,"18-27",1820,1,1,1
1,7500000.00,"2-3",,1,2,
2,9000000.00,"10-16",675,0,0,1
1,3700000.00,"5-7",647,0,0,1
1,3500000.00,"4-5",,1,0,
2,9000000.00,"20-28",600,1,0,0
1,3500000.00,"3-3",,1,1,
1,5400000.00,"3-7",430,1,1,1
2,16500000.00,"15-31",665,1,0,1
2,8500000.00,"2-28",557,1,0,1
3,12800000.00,"27-27",870,1,1,0
1,,"6-7",,1,0,
1,4200000.00,"5-5",,1,2,
1,2400000.00,"3-8",288,1,0,1
1,6100000.00,"11-17",,1,0,
3,17500000.00,"8-20",925,1,2,1
1,4700000.00,"9-24",434,0,1,1
4,32000000.00,"16-27",1350,1,0,1
2,19800000.00,"14-29",850,1,1,1
1,8300000.00,"12-27",467,1,1,3
3,14200000.00,"1-27",849,1,1,1
1,5400000.00,"2-7",440,1,2,1
1,2600000.00,"5-7",,1,1,
1,7000000.00,"2-4",,1,1,
1,,"2-4",,1,0,
2,11800000.00,"16-38",639,0,0,1
2,3500000.00,"2-7",600,1,0,
1,2000000.00,"3-4",,1,0,
2,7000000.00,"2-17",,1,1,
2,3700000.00,"12-28",,1,2,1
2,6000000.00,"3-19",,1,0,
2,7000000.00,"2-7",923,1,1,1
2,11000000.00,"5-7",620,1,1,0
2,10500000.00,"6-28",550,1,0,0
1,2400000.00,"1-4",367,1,1,1
2,7800000.00,"5-7",600,1,0,1
3,15500000.00,"7-16",880,1,1,1
1,4700000.00,"2-7",380,1,0,1
1,1200000.00,"2-2",,1,1,
1,3200000.00,"1-9",,1,0,0
1,2300000.00,"7-12",375,1,1,0
2,10000000.00,"10-10",636,1,0,0
1,5000000.00,"4-4",,1,0,1
2,3000000.00,"6-7",,1,0,0
2,7000000.00,"14-17",600,1,0,0
2,12000000.00,"21-27",661,1,1,0
2,5100000.00,"5-8",686,1,0,1
3,15500000.00,"7-30",950,1,0,0
1,3000000.00,"6-18",504,1,0,1
2,19000000.00,"14-28",799,1,1,1
1,4000000.00,"3-5",,1,0,
1,6000000.00,"2-24",320,0,1,1
2,8500000.00,"3-4",650,1,2,0
2,4300000.00,"1-8",586,1,0,1
2,8500000.00,"2-16",,1,0,
3,26000000.00,"7-7",1200,1,1,1
2,15500000.00,"4-28",741,1,1,0
3,26500000.00,"4-26",1200,1,1,0
1,5300000.00,"5-7",,1,2,0
2,,"3-4",650,1,2,0
2,6000000.00,"7-7",590,1,0,0
3,11000000.00,"1-17",960,1,0,1
1,3500000.00,"5-5",,1,0,
1,3200000.00,"2-4",,1,0,
3,24000000.00,"20-32",1168,0,0,1
3,31000000.00,"10-25",,0,0,1
2,7800000.00,"15-17",,1,0,1
1,4500000.00,"8-9",500,1,0,0
3,20000000.00,Upper Basement-9,1200,1,2,
1,5000000.00,"5-7",,1,0,0
3,16000000.00,"8-27",920,1,0,1
1,,"5-7",550,1,0,
1,2200000.00,"4-4",400,1,0,
1,7900000.00,"2-7",460,1,1,1
2,3000000.00,"7-7",,1,0,
1,4800000.00,"8-19",404,1,0,0
2,7520000.00,"3-7",624,0,0,1
2,13200000.00,"2-8",,1,0,
1,2800000.00,"2-2",510,1,0,1
1,7700000.00,"15-30",450,1,0,1
1,10000000.00,"4-4",,1,1,
1,5000000.00,"3-4",,1,2,
1,2500000.00,"3-7",550,1,1,1
1,5300000.00,"21-26",420,1,1,1
3,16500000.00,"5-12",744,1,1,1
2,6000000.00,"3-18",,1,0,
2,11900000.00,"5-14",740,1,1,1
