"bhk","price","flr","area","sale","furnus","owner","f1","f2"
,,"0  - 3",,1,0,,"0 ", 3
2,,"4 - 4",750,0,2,,"4 ","4"
2,,"4 - 12",666,1,0,1,"4 ","12"
1,,"5 - 7",,1,1,,"5 ","7"
1,,"1 - 7",,1,1,,"1 ","7"
1,,"1 - 7",,1,1,,"1 ","7"
1,,"0  - 1",468,1,0,,"0 ", 1
1,4000000.00,"4 - 8",,1,0,,"4 ","8"
1,6000000.00,"7 - 8",,1,1,,"7 ","8"
1,,"5 - 21",401,0,0,1,"5 ","21"
2,8500000.00,"2 - 16",,1,0,,"2 ","16"
2,,"3 - 4",,1,,,"3 ","4"
2,,"12 - 24",650,1,0,1,"12", 24
2,,"19 - 20",,1,1,,"19", 20
4,,"6 - 8",,1,1,,"6 ","8"
1,5000000.00,"3 - 4",,1,2,,"3 ","4"
1,,"4 - 20",450,1,1,0,"4 ","20"
3,,"15 - 32",940,1,0,,"15", 32
2,6000000.00,"3 - 19",,1,0,,"3 ","19"
1,,"1 - 5",460,1,1,1,"1 ","5"
1,,"4 - 7",,1,0,0,"4 ","7"
1,,"3 - 3",,1,,,"3 ","3"
1,,"4 - 4",380,1,1,1,"4 ","4"
,,"3 - 4",,1,0,,"3 ","4"
3,,"6 - 7",915,0,2,0,"6 ","7"
2,,"1 - 6",635,1,1,,"1 ","6"
1,,"14 - 16",,1,,,"14", 16
2,,"20 - 29",756,0,2,1,"20", 29
1,2500000.00,"7 - 7",,1,0,,"7 ","7"
,1300000.00,"2 - 5",,1,0,,"2 ","5"
2,4500000.00,"7 - 9",,1,1,,"7 ","9"
3,,"10 - 18",910,1,1,1,"10", 18
2,,"10 - 18",559,1,1,1,"10", 18
1,,"7 - 15",,1,2,2,"7 ","15"
3,,"6 - 30",1500,1,2,1,"6 ","30"
2,,"7 - 9",,1,1,,"7 ","9"
1,,"3 - 4",,1,1,,"3 ","4"
,,"4 - 10",,1,1,,"4 ","10"
,,"0  - 3",,1,0,,"0 ", 3
1,,"4 - 16",450,1,0,0,"4 ","16"
1,,"2 - 6",550,1,0,,"2 ","6"
,,"2 - 5",,1,0,,"2 ","5"
,,"4 - 5",,1,0,,"4 ","5"
2,,"7 - 7",700,1,1,,"7 ","7"
2,,"16 - 22",,1,0,,"16", 22
1,,"3 - 7",455,1,0,0,"3 ","7"
2,,"21 - 45",635,0,0,1,"21", 45
2,,"8 - 27",,0,1,,"8 ","27"
2,,"0  - 4",,1,0,,"0 ", 4
1,,"4 - 7",450,0,0,1,"4 ","7"
1,,"7 - 7",,1,0,0,"7 ","7"
,,"4 - 10",,1,1,,"4 ","10"
2,,"",739,0,0,,"",""
3,,"16 - 19",,1,2,,"16", 19
1,,"2 - 3",,1,0,,"2 ","3"
2,,"6 - 12",,1,2,,"6 ","12"
2,,"6 - 12",570,1,0,1,"6 ","12"
,,"2 - 5",,1,0,,"2 ","5"
1,,"2 - 4",,1,0,,"2 ","4"
2,,"9 - 29",767,0,0,1,"9 ","29"
2,,"8 - 27",,0,1,,"8 ","27"
2,,"8 - 27",,0,1,,"8 ","27"
2,,"19 - 26",650,1,0,1,"19", 26
1,,"2 - 3",,1,1,1,"2 ","3"
2,,"6 - 8",,1,0,,"6 ","8"
1,,"22 - 25",,1,0,,"22", 25
1,,"4 - 7",,1,0,,"4 ","7"
1,,"4 - 7",,1,0,,"4 ","7"
2,,"2 - 10",780,1,2,1,"2 ","10"
2,,"13 - 26",636,1,0,1,"13", 26
2,,"2 - 8",,1,1,,"2 ","8"
1,,"6 - 10",650,1,0,0,"6 ","10"
3,,"7 - 12",930,1,1,,"7 ","12"
1,,"1 - 7",430,1,1,0,"1 ","7"
1,,"3 - 5",,1,0,,"3 ","5"
2,,"6 - 27",600,1,0,1,"6 ","27"
2,,"2 - 8",640,1,0,1,"2 ","8"
1,,"4 - 5",,1,0,,"4 ","5"
1,,"12 - 12",388,0,0,1,"12", 12
1,,"1 - 4",,1,0,,"1 ","4"
1,,"6 - 7",435,1,0,3,"6 ","7"
1,,"1 - 2",300,1,0,1,"1 ","2"
2,5000000.00,"2 - 5",,1,1,,"2 ","5"
2,5000000.00,"12 - 12",,1,0,0,"12", 12
2,4500000.00,"1 - 6",770,1,0,1,"1 ","6"
3,24000000.00,"6 - 30",1500,1,2,1,"6 ","30"
1,5400000.00,"2 - 7",430,1,1,1,"2 ","7"
1,5000000.00,"3 - 7",410,1,1,0,"3 ","7"
2,4100000.00,"0  - 4",,1,1,,"0 ", 4
2,4290000.00,"3 - 20",688,0,0,1,"3 ","20"
3,7500000.00,"7 - 15",640,1,0,1,"7 ","15"
2,10000000.00,"6 - 13",680,1,0,1,"6 ","13"
3,23600000.00,"2 - 29",1073,0,0,1,"2 ","29"
1,2900000.00,"5 - 7",,1,0,,"5 ","7"
1,2500000.00,"4 - 7",,1,0,,"4 ","7"
1,2750000.00,"1 - 7",,1,1,,"1 ","7"
2,,"1 - 5",,1,1,,"1 ","5"
2,,"1 - 5",,1,1,,"1 ","5"
1,7500000.00,"2 - 7",,1,2,1,"2 ","7"
3,34500000.00,"20 - 35",1356,0,0,1,"20", 35
1,4800000.00,"3 - 7",400,1,0,1,"3 ","7"
1,5600000.00,"13 - 31",483,1,0,1,"13", 31
1,4550000.00,"3 - 23",453,0,0,1,"3 ","23"
3,5500000.00,"3 - 4",750,1,0,1,"3 ","4"
2,16000000.00,"19 - 19",800,1,1,,"19", 19
2,17000000.00,"11 - 18",760,1,1,0,"11", 18
1,6000000.00,"4 - 4",500,1,2,1,"4 ","4"
4,49000000.00,"18 - 30",1704,1,0,1,"18", 30
2,5800000.00,"10 - 20",587,0,0,1,"10", 20
2,2600000.00,"0  - 4",,1,0,,"0 ", 4
2,10000000.00,"2 - 19",699,1,1,0,"2 ","19"
1,2100000.00,"2 - 5",,0,0,1,"2 ","5"
3,27500000.00,"16 - 23",1350,1,0,1,"16", 23
2,16500000.00,"3 - 30",763,0,0,1,"3 ","30"
3,25000000.00,"8 - 8",1140,0,0,1,"8 ","8"
,5500000.00,"4 - 5",,1,0,,"4 ","5"
,1500000.00,"1 - 4",,1,1,,"1 ","4"
1,2600000.00,"6 - 7",,1,2,,"6 ","7"
2,6500000.00,"10 - 30",,1,0,,"10", 30
3,17500000.00,"17 - 27",889,1,1,0,"17", 27
2,6000000.00,"5 - 6",,1,1,2,"5 ","6"
1,2900000.00,"1 - 4",490,1,0,,"1 ","4"
1,5300000.00,"4 - 7",415,1,0,1,"4 ","7"
3,30000000.00,"11 - 26",1140,1,1,1,"11", 26
2,13200000.00,"12 - 30",735,1,0,1,"12", 30
1,10500000.00,"5 - 7",490,0,0,,"5 ","7"
1,7900000.00,"4 - 6",452,1,0,,"4 ","6"
1,6000000.00,"7 - 7",450,1,0,,"7 ","7"
1,1800000.00,"1 - 1",,1,1,0,"1 ","1"
3,13000000.00,"10 - 14",894,1,1,0,"10", 14
2,10600000.00,"14 - 32",640,1,0,1,"14", 32
2,10000000.00,"1 - 4",,1,2,,"1 ","4"
2,10700000.00,"15 - 32",640,1,0,1,"15", 32
2,17100000.00,"6 - 29",758,0,0,1,"6 ","29"
2,,"1 - 4",,1,2,,"1 ","4"
2,4500000.00,"7 - 9",,1,1,,"7 ","9"
3,16000000.00,"1 - 20",894,1,1,0,"1 ","20"
1,1900000.00,"2 - 7",,1,1,1,"2 ","7"
3,22900000.00,"28 - 32",1153,0,0,1,"28", 32
2,5600000.00,"1 - 8",,1,2,,"1 ","8"
2,7000000.00,"6 - 8",,1,1,,"6 ","8"
2,4150000.00,"3 - 20",671,0,0,1,"3 ","20"
4,12500000.00,"12 - 12",1170,1,2,0,"12", 12
2,6500000.00,"1 - 4",,1,1,,"1 ","4"
2,8300000.00,"12 - 21",600,1,0,1,"12", 21
2,,"1 - 29",758,0,0,1,"1 ","29"
3,7200000.00,"14 - 22",,1,0,,"14", 22
2,,"1 - 29",758,0,0,1,"1 ","29"
2,14700000.00,"30 - 36",848,1,1,,"30", 36
1,4000000.00,"4 - 4",,1,1,,"4 ","4"
2,11300000.00,"23 - 32",650,1,0,1,"23", 32
6,18500000.00,"7 - 15",913,1,0,1,"7 ","15"
1,6300000.00,"25 - 30",366,1,0,1,"25", 30
2,14500000.00,"12 - 22",750,1,1,1,"12", 22
2,15000000.00,"26 - 27",706,1,0,1,"26", 27
2,6490000.00,"3 - 23",612,0,0,1,"3 ","23"
2,11000000.00,"9 - 19",730,1,1,1,"9 ","19"
1,3400000.00,"6 - 18",510,1,0,1,"6 ","18"
3,7250000.00,"4 - 24",961,1,0,1,"4 ","24"
3,36600000.00,"21 - 26",1228,0,1,1,"21", 26
1,3500000.00,"7 - 8",480,1,0,1,"7 ","8"
1,4000000.00,"4 - 8",,1,0,,"4 ","8"
1,3500000.00,"2 - 5",,1,0,,"2 ","5"
2,8600000.00,"19 - 30",551,1,0,1,"19", 30
1,7500000.00,"10 - 30",435,1,0,1,"10", 30
